,L5,L5-,P_cons,P_prod,P_tot
2021-12-17 21:18:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:18:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:18:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:18:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:18:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:18:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:19:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:20:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:21:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:22:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:23:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:24:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:25:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:26:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:27:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:28:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:29:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:30:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:31:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:32:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:33:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:34:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:35:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:36:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:37:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:38:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:39:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:40:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:41:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:42:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:43:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:44:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:45:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:46:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:47:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:08+01:00,0.0,0.0,0.0,0.0,0.0
