,PV_Brun,PV_Brun-,PV_Gris-,PV_Gris,PV_Noir-,PV_Noir,Brun,Brun-,Gris,Gris-,Noir,Noir-,P_cons,P_prod,P_tot
2021-12-17 11:50:08+01:00,0.0,1.0000000002037268,97.99999999813735,0.0,169.9999999254942,0.0,447.9999999748543,0.0,700.999999884516,0.0,0.0,18.999999971129,1398.9999998120766,-268.9999999238353,1129.9999998882413
2021-12-17 11:50:16+01:00,0.0,1.0000000002037268,99.0000000456348,0.0,168.99999999441206,0.0,447.00000004377216,0.0,706.0000000055879,0.0,0.0,16.99999999254942,1405.0000000970613,-269.0000000402506,1136.0000000568107
2021-12-17 11:50:24+01:00,0.0,1.9999999999527063,99.0000000456348,0.0,171.00000008940697,0.0,447.9999999748543,0.0,708.0000001005828,0.0,0.0,18.999999971129,1409.0000002393026,-272.0000001349945,1137.0000001043081
2021-12-17 11:50:32+01:00,0.9999999999763531,1.0000000002037268,99.99999997671694,0.0,171.00000008940697,0.0,442.9999999701977,0.0,702.0000000484288,0.0,0.0,18.999999971129,1397.0000001138487,-271.0000000663513,1126.0000000474975
2021-12-17 11:50:40+01:00,0.0,1.0000000002037268,99.0000000456348,0.0,171.00000008940697,0.0,440.9999999916181,0.0,699.9999999534339,0.0,0.0,18.00000004004687,1394.0000000402506,-271.0000001352455,1122.999999905005
2021-12-17 11:50:48+01:00,0.0,1.9999999999527063,99.99999997671694,0.0,171.00000008940697,0.0,442.9999999701977,0.0,702.9999999795109,0.0,0.0,18.999999971129,1400.0000000446562,-273.0000000660766,1126.9999999785796
2021-12-17 11:50:56+01:00,0.0,1.0000000002037268,99.99999997671694,0.0,172.99999995157123,0.0,439.99999994412065,0.0,699.0000000223517,0.0,0.0,18.999999971129,1393.9999999238353,-273.9999999284919,1119.9999999953434
2021-12-17 11:51:04+01:00,0.0,1.9999999999527063,99.99999997671694,0.0,172.0000000204891,0.0,440.9999999916181,0.0,698.0000000912696,0.0,0.0,20.00000001862645,1393.00000006142,-273.99999999715874,1119.0000000642613
2021-12-17 11:51:12+01:00,0.0,1.9999999999527063,99.99999997671694,0.0,172.0000000204891,0.0,439.99999994412065,0.0,692.9999999701977,0.0,0.0,20.00000001862645,1386.9999998928506,-273.99999999715874,1112.9999998956919
2021-12-17 11:51:20+01:00,0.0,1.0000000002037268,99.99999997671694,0.0,172.0000000204891,0.0,435.9999999869615,0.0,685.9999999869615,0.0,0.0,18.999999971129,1376.0000000002037,-272.99999999740976,1103.000000002794
2021-12-17 11:51:28+01:00,0.0,1.9999999999527063,97.99999999813735,0.0,169.9999999254942,0.0,447.00000004377216,0.0,702.0000000484288,0.0,0.0,18.999999971129,1400.0000000446562,-269.99999992358426,1130.000000121072
