,ECHASC_PV_Brun,ECHASC_PV_Brun-,ECHASC_PV_Gris-,ECHASC_PV_Gris,ECHASC_PV_Noir-,ECHASC_PV_Noir,ECHASC_Brun,ECHASC_Brun-,ECHASC_Gris,ECHASC_Gris-,ECHASC_Noir,ECHASC_Noir-,ECHBUA_Brun-,ECHBUA_Brun,ECHBUA_Gris,ECHBUA_Gris-,ECHBUA_Noir,ECHBUA_Noir-,ECHBUA_PV_Brun-,ECHBUA_PV_Brun,ECHBUA_PV_Gris,ECHBUA_PV_Gris-,ECHBUA_PV_Noir,ECHBUA_PV_Noir-,ECHL16_L16,ECHL16_L16-,ECHL05_L5,ECHL05_L5-,P_cons,P_prod,P_tot
2021-12-17 18:00:00+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,601.0000000242144,0.0,702.9999999795109,0.0,78.99999999790452,0.0,0.0,101.62499995203689,13.625000006868504,0.0,104.87499996088445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.9999999906868,0.0,0.0,0.0,2084.124999912092,9.000000000014552,2093.1249999121064
2021-12-17 18:00:08+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,594.9999999720603,0.0,699.0000000223517,0.0,78.99999999790452,0.0,0.0,101.49999993154779,13.625000006868504,0.0,104.25000000395812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0000000139698,0.0,0.0,0.0,2096.374999948239,11.000000000422006,2107.374999948661
2021-12-17 18:00:16+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,601.9999999552965,0.0,702.0000000484288,0.0,81.99999999487773,0.0,0.0,93.37499993853271,13.500000000931323,0.0,96.37499996460974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.9999999431893,0.0,0.0,0.0,2069.2499998458516,9.000000000014552,2078.249999845866
2021-12-17 18:00:24+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.9999999720603,0.0,696.9999999273568,0.0,78.99999999790452,0.0,0.0,83.99999988614582,13.374999994994141,0.0,87.12499996181577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0000000381842,0.0,0.0,0.0,2036.4999997782434,10.000000000218279,2046.4999997784616
2021-12-17 18:00:32+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,596.0000000195578,0.0,698.0000000912696,0.0,78.99999999790452,0.0,0.0,102.00000001350418,13.500000000931323,0.0,104.87499998998828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0000000167638,0.0,0.0,0.0,2075.375000129725,11.000000000194632,2086.3750001299195
2021-12-17 18:00:40+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.9999999720603,0.0,696.9999999273568,0.0,78.99999999790452,0.0,0.0,102.24999993806705,13.625000006868504,0.0,105.37500001373701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.99999996926636,0.0,0.0,0.0,2074.2499998250423,10.000000000218279,2084.2499998252606
2021-12-17 18:00:48+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,6.000000000312866,596.0000000195578,0.0,699.9999999534339,0.0,79.99999998719431,0.0,0.0,97.8749999194406,13.374999994994141,0.0,101.99999998440035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0000000381842,0.0,0.0,0.0,2068.249999896807,12.000000000398359,2080.2499998972053
2021-12-17 18:00:56+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,591.0000000149012,0.0,696.9999999273568,0.0,79.99999998719431,0.0,0.0,72.12499997694977,13.374999994994141,0.0,79.87499999580905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.99999996926636,0.0,0.0,0.0,2016.374999866457,9.000000000014552,2025.3749998664716
2021-12-17 18:01:04+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,589.9999999674037,0.0,698.0000000912696,0.0,81.00000000558794,0.0,0.0,63.12499995692633,13.374999994994141,0.0,70.87499997578561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0000000214204,0.0,0.0,0.0,2004.3750000131695,10.000000000218279,2014.3750000133878
2021-12-17 18:01:12+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,596.0000000195578,0.0,695.0000000651926,0.0,79.99999998719431,0.0,0.0,80.49999998183921,13.24999998905696,0.0,88.12500000931323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.99999994784594,0.0,0.0,0.0,2036.8749999997817,10.000000000218279,2046.875
2021-12-17 18:01:20+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,591.9999999459833,0.0,692.9999999701977,0.0,79.99999998719431,0.0,0.0,80.49999998183921,13.374999994994141,0.0,89.00000000721775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.00000004284084,0.0,0.0,0.0,2032.8749999300726,11.000000000194632,2043.8749999302672
2021-12-17 18:01:28+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,589.9999999674037,0.0,702.0000000484288,0.0,81.00000000558794,0.0,0.0,80.50000001094304,13.500000000931323,0.0,88.87500004493631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.9999999953434,0.0,0.0,0.0,2041.87500007356,9.000000000014552,2050.8750000735745
2021-12-17 18:01:36+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,6.000000000312866,591.9999999459833,0.0,700.999999884516,0.0,79.99999998719431,0.0,0.0,70.99999999627471,13.24999998905696,0.0,79.25000003888272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0000000214204,0.0,0.0,0.0,2022.49999986293,12.000000000398359,2034.4999998633284
2021-12-17 18:01:44+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,591.9999999459833,0.0,700.999999884516,0.0,81.00000000558794,0.0,0.0,63.49999998928979,13.24999998905696,0.0,71.87499999417923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.9999999664724,0.0,0.0,0.0,2027.624999775071,9.000000000014552,2036.6249997750856
