,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:08:40+01:00,0.0,82.87499999278225,19.87500001268927,0.0,97.74999995715916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.49999996263068,0.0,200.49999996263068
2021-12-17 00:08:48+01:00,0.0,82.99999995506369,20.00000001862645,0.0,97.87500000675209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.87499998044223,0.0,200.87499998044223
2021-12-17 00:08:56+01:00,0.0,82.99999998416752,19.87500001268927,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.74999997450504,0.0,200.74999997450504
2021-12-17 00:09:04+01:00,0.0,81.37499997974373,20.00000001862645,0.0,96.50000001420267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.87500001257285,0.0,197.87500001257285
2021-12-17 00:09:12+01:00,0.0,55.62500000814907,20.125000017287675,0.0,70.87499994668178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.62499997211853,0.0,146.62499997211853
2021-12-17 00:09:20+01:00,0.0,82.62499998090789,19.87500001268927,0.0,97.62499999487773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499998847488,0.0,200.12499998847488
2021-12-17 00:09:28+01:00,0.0,82.87499996367842,19.87500001268927,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499995401595,0.0,200.62499995401595
2021-12-17 00:09:36+01:00,0.0,82.75000000139698,20.00000001862645,0.0,97.62499999487773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.37500001490116,0.0,200.37500001490116
2021-12-17 00:09:44+01:00,0.0,80.87499995599501,20.00000001862645,0.0,95.87499999906868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.74999997369014,0.0,196.74999997369014
2021-12-17 00:09:52+01:00,0.0,56.499999976949766,19.87500001268927,0.0,71.49999996181577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.8749999514548,0.0,147.8749999514548
2021-12-17 00:10:00+01:00,0.0,82.62499998090789,20.000000011350494,0.0,97.49999997438863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.124999966647,0.0,200.124999966647
2021-12-17 00:10:08+01:00,0.0,82.62500001001172,19.87500001268927,0.0,97.6249999657739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499998847488,0.0,200.12499998847488
2021-12-17 00:10:16+01:00,0.0,82.74999997229315,19.87500001268927,0.0,97.49999997438863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499995937105,0.0,200.12499995937105
2021-12-17 00:10:24+01:00,0.0,79.87499999580905,19.87500001268927,0.0,94.87499995157123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.62499996006954,0.0,194.62499996006954
