,Main,Main-,PV-,PV,P_cons,P_prod,P_tot
2021-12-16 22:25:52+01:00,442.9999999701977,0.0,0.0,8.999999998195563,451.99999996839324,8.999999998195563,442.9999999701977
2021-12-16 22:26:00+01:00,416.99999989941716,0.0,0.0,9.99999999839929,426.99999989781645,9.99999999839929,416.99999989941716
2021-12-16 22:26:08+01:00,868.9999999478459,0.0,0.0,8.999999998195563,877.9999999460415,8.999999998195563,868.9999999478459
2021-12-16 22:26:16+01:00,580.0000000745058,0.0,0.0,9.99999999839929,590.0000000729051,9.99999999839929,580.0000000745058
2021-12-16 22:26:24+01:00,580.0000000745058,0.0,0.0,8.999999998195563,589.0000000727014,8.999999998195563,580.0000000745058
2021-12-16 22:26:32+01:00,577.9999999795109,0.0,0.0,9.99999999839929,587.9999999779102,9.99999999839929,577.9999999795109
2021-12-16 22:26:40+01:00,578.999999910593,0.0,0.0,8.999999998195563,587.9999999087886,8.999999998195563,578.999999910593
2021-12-16 22:26:48+01:00,574.0000000223517,0.0,0.0,9.99999999839929,584.000000020751,9.99999999839929,574.0000000223517
2021-12-16 22:26:56+01:00,571.9999999273568,0.0,0.0,8.999999998195563,580.9999999255524,8.999999998195563,571.9999999273568
2021-12-16 22:27:04+01:00,570.9999999962747,0.0,0.0,9.99999999839929,580.999999994674,9.99999999839929,570.9999999962747
2021-12-16 22:27:12+01:00,570.0000000651926,0.0,0.0,8.999999998195563,579.0000000633881,8.999999998195563,570.0000000651926
2021-12-16 22:27:20+01:00,563.0000000819564,0.0,0.0,9.99999999839929,573.0000000803557,9.99999999839929,563.0000000819564
2021-12-16 22:27:28+01:00,563.0000000819564,0.0,0.0,9.99999999839929,573.0000000803557,9.99999999839929,563.0000000819564
2021-12-16 22:27:36+01:00,563.0000000819564,0.0,0.0,8.999999998195563,572.000000080152,8.999999998195563,563.0000000819564
2021-12-16 22:27:44+01:00,564.0000000130385,0.0,0.0,8.999999998195563,573.0000000112341,8.999999998195563,564.0000000130385
2021-12-16 22:27:52+01:00,561.9999999180436,0.0,0.0,9.99999999839929,571.9999999164429,9.99999999839929,561.9999999180436
2021-12-16 22:28:00+01:00,560.9999999869615,0.0,0.0,8.999999998195563,569.999999985157,8.999999998195563,560.9999999869615
2021-12-16 22:28:08+01:00,560.9999999869615,0.0,0.0,9.99999999839929,570.9999999853608,9.99999999839929,560.9999999869615
2021-12-16 22:28:16+01:00,561.9999999180436,0.0,0.0,9.99999999839929,571.9999999164429,9.99999999839929,561.9999999180436
2021-12-16 22:28:24+01:00,561.9999999180436,0.0,0.0,8.999999998195563,570.9999999162392,8.999999998195563,561.9999999180436
2021-12-16 22:28:32+01:00,561.9999999180436,0.0,0.0,9.99999999839929,571.9999999164429,9.99999999839929,561.9999999180436
2021-12-16 22:28:40+01:00,561.9999999180436,0.0,0.0,9.99999999839929,571.9999999164429,9.99999999839929,561.9999999180436
2021-12-16 22:28:48+01:00,560.0000000558794,0.0,0.0,8.999999998195563,569.0000000540749,8.999999998195563,560.0000000558794
2021-12-16 22:28:56+01:00,549.000000115484,0.0,0.0,9.99999999839929,559.0000001138833,9.99999999839929,549.000000115484
2021-12-16 22:29:04+01:00,547.0000000204891,0.0,0.0,8.999999998195563,556.0000000186847,8.999999998195563,547.0000000204891
2021-12-16 22:29:12+01:00,546.000000089407,0.0,0.0,9.99999999839929,556.0000000878063,9.99999999839929,546.000000089407
2021-12-16 22:29:20+01:00,544.9999999254942,0.0,0.0,8.999999998195563,553.9999999236898,8.999999998195563,544.9999999254942
2021-12-16 22:29:28+01:00,543.9999999944121,0.0,0.0,9.99999999839929,553.9999999928114,9.99999999839929,543.9999999944121
2021-12-16 22:29:36+01:00,544.9999999254942,0.0,0.0,9.99999999839929,554.9999999238935,9.99999999839929,544.9999999254942
2021-12-16 22:29:44+01:00,543.9999999944121,0.0,0.0,8.999999998195563,552.9999999926076,8.999999998195563,543.9999999944121
2021-12-16 22:29:52+01:00,544.9999999254942,0.0,0.0,8.999999998195563,553.9999999236898,8.999999998195563,544.9999999254942
2021-12-16 22:30:00+01:00,543.9999999944121,0.0,0.0,9.99999999839929,553.9999999928114,9.99999999839929,543.9999999944121
2021-12-16 22:30:08+01:00,543.9999999944121,0.0,0.0,8.999999998195563,552.9999999926076,8.999999998195563,543.9999999944121
2021-12-16 22:30:16+01:00,541.9999998994172,0.0,0.0,8.999999998195563,550.9999998976127,8.999999998195563,541.9999998994172
2021-12-16 22:30:24+01:00,543.0000000633299,0.0,0.0,9.99999999839929,553.0000000617292,9.99999999839929,543.0000000633299
2021-12-16 22:30:32+01:00,543.0000000633299,0.0,0.0,8.999999998195563,552.0000000615255,8.999999998195563,543.0000000633299
2021-12-16 22:30:40+01:00,542.9999991320074,0.0,-4.6566128730773926e-07,10.000000856962288,553.0000004546309,10.000001322623575,542.9999991320074
2021-12-16 22:30:48+01:00,541.9999998994172,0.0,0.0,8.999999998195563,550.9999998976127,8.999999998195563,541.9999998994172
2021-12-16 22:30:56+01:00,541.9999998994172,0.0,0.0,9.99999999839929,551.9999998978165,9.99999999839929,541.9999998994172
2021-12-16 22:31:04+01:00,541.9999998994172,0.0,0.0,8.999999998195563,550.9999998976127,8.999999998195563,541.9999998994172
2021-12-16 22:31:12+01:00,541.9999998994172,0.0,0.0,9.99999999839929,551.9999998978165,9.99999999839929,541.9999998994172
2021-12-16 22:31:20+01:00,540.999999968335,0.0,0.0,8.999999998195563,549.9999999665306,8.999999998195563,540.999999968335
2021-12-16 22:31:28+01:00,540.999999968335,0.0,0.0,9.99999999839929,550.9999999667343,9.99999999839929,540.999999968335
2021-12-16 22:31:36+01:00,945.0000000651926,0.0,0.0,8.999999998195563,954.0000000633881,8.999999998195563,945.0000000651926
2021-12-16 22:31:44+01:00,709.9999999627471,0.0,0.0,9.99999999839929,719.9999999611464,9.99999999839929,709.9999999627471
2021-12-16 22:31:52+01:00,719.0000000409782,0.0,0.0,8.999999998195563,728.0000000391738,8.999999998195563,719.0000000409782
2021-12-16 22:32:00+01:00,718.0000001098961,0.0,0.0,9.99999999839929,728.0000001082954,9.99999999839929,718.0000001098961
2021-12-16 22:32:08+01:00,720.9999999031425,0.0,0.0,8.999999998195563,729.999999901338,8.999999998195563,720.9999999031425
2021-12-16 22:32:16+01:00,719.9999999720603,0.0,0.0,8.999999998195563,728.9999999702559,8.999999998195563,719.9999999720603
2021-12-16 22:32:24+01:00,720.9999999031425,0.0,0.0,9.99999999839929,730.9999999015417,9.99999999839929,720.9999999031425
2021-12-16 22:32:32+01:00,720.9999999031425,0.0,0.0,9.99999999839929,730.9999999015417,9.99999999839929,720.9999999031425
2021-12-16 22:32:40+01:00,722.0000000670552,0.0,0.0,8.999999998195563,731.0000000652508,8.999999998195563,722.0000000670552
2021-12-16 22:32:48+01:00,723.9999999292195,0.0,0.0,9.99999999839929,733.9999999276188,9.99999999839929,723.9999999292195
2021-12-16 22:32:56+01:00,722.0000000670552,0.0,0.0,8.999999998195563,731.0000000652508,8.999999998195563,722.0000000670552
2021-12-16 22:33:04+01:00,722.0000000670552,0.0,0.0,9.99999999839929,732.0000000654545,9.99999999839929,722.0000000670552
2021-12-16 22:33:12+01:00,720.9999999031425,0.0,0.0,8.999999998195563,729.999999901338,8.999999998195563,720.9999999031425
2021-12-16 22:33:20+01:00,720.9999999031425,0.0,0.0,9.99999999839929,730.9999999015417,9.99999999839929,720.9999999031425
2021-12-16 22:33:28+01:00,718.0000001098961,0.0,0.0,8.999999998195563,727.0000001080916,8.999999998195563,718.0000001098961
2021-12-16 22:33:36+01:00,719.9999999720603,0.0,0.0,10.999999998603016,730.9999999706633,10.999999998603016,719.9999999720603
2021-12-16 22:33:44+01:00,716.9999999459833,0.0,0.0,8.999999998195563,725.9999999441789,8.999999998195563,716.9999999459833
2021-12-16 22:33:52+01:00,716.9999999459833,0.0,0.0,9.99999999839929,726.9999999443826,9.99999999839929,716.9999999459833
2021-12-16 22:34:00+01:00,719.9999999720603,0.0,0.0,8.999999998195563,728.9999999702559,8.999999998195563,719.9999999720603
2021-12-16 22:34:08+01:00,716.9999999459833,0.0,0.0,9.99999999839929,726.9999999443826,9.99999999839929,716.9999999459833
2021-12-16 22:34:16+01:00,712.9999999888241,0.0,0.0,8.999999998195563,721.9999999870197,8.999999998195563,712.9999999888241
2021-12-16 22:34:24+01:00,712.000000057742,0.0,0.0,9.99999999839929,722.0000000561413,9.99999999839929,712.000000057742
2021-12-16 22:34:32+01:00,712.9999999888241,0.0,0.0,9.99999999839929,722.9999999872234,9.99999999839929,712.9999999888241
2021-12-16 22:34:40+01:00,712.000000057742,0.0,0.0,8.999999998195563,721.0000000559376,8.999999998195563,712.000000057742
2021-12-16 22:34:48+01:00,712.000000057742,0.0,0.0,9.99999999839929,722.0000000561413,9.99999999839929,712.000000057742
