,Main,Main-,P_cons,P_prod,P_tot
2021-12-16 22:21:12+01:00,709.000000031665,0.0,0.0,709.000000031665,709.000000031665
2021-12-16 22:21:20+01:00,712.000000057742,0.0,0.0,712.000000057742,712.000000057742
2021-12-16 22:21:28+01:00,719.0000000409782,0.0,0.0,719.0000000409782,719.0000000409782
2021-12-16 22:21:36+01:00,714.0000000363216,0.0,0.0,714.0000000363216,714.0000000363216
2021-12-16 22:21:44+01:00,714.9999999674037,0.0,0.0,714.9999999674037,714.9999999674037
2021-12-16 22:21:52+01:00,721.0000000195578,0.0,0.0,721.0000000195578,721.0000000195578
2021-12-16 22:22:00+01:00,726.9999999552965,0.0,0.0,726.9999999552965,726.9999999552965
2021-12-16 22:22:08+01:00,722.9999999981374,0.0,0.0,722.9999999981374,722.9999999981374
2021-12-16 22:22:16+01:00,689.9999999441206,0.0,0.0,689.9999999441206,689.9999999441206
2021-12-16 22:22:24+01:00,778.9999999804422,0.0,0.0,778.9999999804422,778.9999999804422
2021-12-16 22:22:32+01:00,885.0000000093132,0.0,0.0,885.0000000093132,885.0000000093132
2021-12-16 22:22:40+01:00,858.0000000074506,0.0,0.0,858.0000000074506,858.0000000074506
2021-12-16 22:22:48+01:00,837.000000057742,0.0,0.0,837.000000057742,837.000000057742
2021-12-16 22:22:56+01:00,836.0000000102445,0.0,0.0,836.0000000102445,836.0000000102445
2021-12-16 22:23:04+01:00,866.0000000381842,0.0,0.0,866.0000000381842,866.0000000381842
2021-12-16 22:23:12+01:00,846.9999999506399,0.0,0.0,846.9999999506399,846.9999999506399
2021-12-16 22:23:20+01:00,532.0000000065193,0.0,0.0,532.0000000065193,532.0000000065193
2021-12-16 22:23:28+01:00,491.99999996926636,0.0,0.0,491.99999996926636,491.99999996926636
2021-12-16 22:23:36+01:00,484.99999998603016,0.0,0.0,484.99999998603016,484.99999998603016
2021-12-16 22:23:44+01:00,488.0000000121072,0.0,0.0,488.0000000121072,488.0000000121072
2021-12-16 22:23:52+01:00,483.0000000074506,0.0,0.0,483.0000000074506,483.0000000074506
2021-12-16 22:24:00+01:00,491.99999996926636,0.0,0.0,491.99999996926636,491.99999996926636
2021-12-16 22:24:08+01:00,478.00000000279397,0.0,0.0,478.00000000279397,478.00000000279397
