,Phase L1,Phase L1-,P_cons,P_prod,P_tot
2021-12-16 22:26:48+01:00,604.0000000502914,0.0,604.0000000502914,0.0,604.0000000502914
2021-12-16 22:26:56+01:00,572.9999999748543,0.0,572.9999999748543,0.0,572.9999999748543
2021-12-16 22:27:04+01:00,528.9999999804422,0.0,528.9999999804422,0.0,528.9999999804422
2021-12-16 22:27:12+01:00,523.9999999757856,0.0,523.9999999757856,0.0,523.9999999757856
2021-12-16 22:27:20+01:00,586.0000000102445,0.0,586.0000000102445,0.0,586.0000000102445
2021-12-16 22:27:28+01:00,596.9999999506399,0.0,596.9999999506399,0.0,596.9999999506399
2021-12-16 22:27:36+01:00,547.9999999515712,0.0,547.9999999515712,0.0,547.9999999515712
2021-12-16 22:27:44+01:00,525.9999999543652,0.0,525.9999999543652,0.0,525.9999999543652
2021-12-16 22:27:52+01:00,559.0000000083819,0.0,559.0000000083819,0.0,559.0000000083819
2021-12-16 22:28:00+01:00,626.9999999785796,0.0,626.9999999785796,0.0,626.9999999785796
2021-12-16 22:28:08+01:00,636.0000000568107,0.0,636.0000000568107,0.0,636.0000000568107
2021-12-16 22:28:16+01:00,591.9999999459833,0.0,591.9999999459833,0.0,591.9999999459833
2021-12-16 22:28:24+01:00,545.0000000419095,0.0,545.0000000419095,0.0,545.0000000419095
2021-12-16 22:28:32+01:00,597.9999999981374,0.0,597.9999999981374,0.0,597.9999999981374
2021-12-16 22:28:40+01:00,596.9999999506399,0.0,596.9999999506399,0.0,596.9999999506399
2021-12-16 22:28:48+01:00,586.0000000102445,0.0,586.0000000102445,0.0,586.0000000102445
2021-12-16 22:28:56+01:00,584.000000031665,0.0,584.000000031665,0.0,584.000000031665
2021-12-16 22:29:04+01:00,557.9999999608845,0.0,557.9999999608845,0.0,557.9999999608845
2021-12-16 22:29:12+01:00,533.0000000540167,0.0,533.0000000540167,0.0,533.0000000540167
2021-12-16 22:29:20+01:00,603.000000002794,0.0,603.000000002794,0.0,603.000000002794
2021-12-16 22:29:28+01:00,628.9999999571592,0.0,628.9999999571592,0.0,628.9999999571592
2021-12-16 22:29:36+01:00,604.0000000502914,0.0,604.0000000502914,0.0,604.0000000502914
2021-12-16 22:29:44+01:00,547.0000000204891,0.0,547.0000000204891,0.0,547.0000000204891
2021-12-16 22:29:52+01:00,591.9999999459833,0.0,591.9999999459833,0.0,591.9999999459833
2021-12-16 22:30:00+01:00,611.0000000335276,0.0,611.0000000335276,0.0,611.0000000335276
2021-12-16 22:30:08+01:00,594.0000000409782,0.0,594.0000000409782,0.0,594.0000000409782
2021-12-16 22:30:16+01:00,591.9999999459833,0.0,591.9999999459833,0.0,591.9999999459833
2021-12-16 22:30:24+01:00,594.0000000409782,0.0,594.0000000409782,0.0,594.0000000409782
2021-12-16 22:30:32+01:00,596.9999999506399,0.0,596.9999999506399,0.0,596.9999999506399
2021-12-16 22:30:40+01:00,594.9999990407377,0.0,594.9999990407377,0.0,594.9999990407377
2021-12-16 22:30:48+01:00,594.9999999720603,0.0,594.9999999720603,0.0,594.9999999720603
2021-12-16 22:30:56+01:00,594.9999999720603,0.0,594.9999999720603,0.0,594.9999999720603
2021-12-16 22:31:04+01:00,597.9999999981374,0.0,597.9999999981374,0.0,597.9999999981374
2021-12-16 22:31:12+01:00,596.0000000195578,0.0,596.0000000195578,0.0,596.0000000195578
2021-12-16 22:31:20+01:00,594.0000000409782,0.0,594.0000000409782,0.0,594.0000000409782
2021-12-16 22:31:28+01:00,591.9999999459833,0.0,591.9999999459833,0.0,591.9999999459833
2021-12-16 22:31:36+01:00,594.0000000409782,0.0,594.0000000409782,0.0,594.0000000409782
2021-12-16 22:31:44+01:00,594.0000000409782,0.0,594.0000000409782,0.0,594.0000000409782
2021-12-16 22:31:52+01:00,589.9999999674037,0.0,589.9999999674037,0.0,589.9999999674037
2021-12-16 22:32:00+01:00,592.9999999934807,0.0,592.9999999934807,0.0,592.9999999934807
2021-12-16 22:32:08+01:00,591.9999999459833,0.0,591.9999999459833,0.0,591.9999999459833
2021-12-16 22:32:16+01:00,591.0000000149012,0.0,591.0000000149012,0.0,591.0000000149012
2021-12-16 22:32:24+01:00,587.000000057742,0.0,587.000000057742,0.0,587.000000057742
2021-12-16 22:32:32+01:00,542.0000000158325,0.0,542.0000000158325,0.0,542.0000000158325
2021-12-16 22:32:40+01:00,525.0000000232831,0.0,525.0000000232831,0.0,525.0000000232831
2021-12-16 22:32:48+01:00,521.999999997206,0.0,521.999999997206,0.0,521.999999997206
2021-12-16 22:32:56+01:00,496.99999997392297,0.0,496.99999997392297,0.0,496.99999997392297
2021-12-16 22:33:04+01:00,523.9999999757856,0.0,523.9999999757856,0.0,523.9999999757856
2021-12-16 22:33:12+01:00,535.0000000325963,0.0,535.0000000325963,0.0,535.0000000325963
2021-12-16 22:33:20+01:00,555.9999999823049,0.0,555.9999999823049,0.0,555.9999999823049
2021-12-16 22:33:28+01:00,555.9999999823049,0.0,555.9999999823049,0.0,555.9999999823049
2021-12-16 22:33:36+01:00,555.9999999823049,0.0,555.9999999823049,0.0,555.9999999823049
2021-12-16 22:33:44+01:00,555.9999999823049,0.0,555.9999999823049,0.0,555.9999999823049
2021-12-16 22:33:52+01:00,584.9999999627471,0.0,584.9999999627471,0.0,584.9999999627471
2021-12-16 22:34:00+01:00,599.0000000456348,0.0,599.0000000456348,0.0,599.0000000456348
2021-12-16 22:34:08+01:00,586.0000000102445,0.0,586.0000000102445,0.0,586.0000000102445
2021-12-16 22:34:16+01:00,581.0000000055879,0.0,581.0000000055879,0.0,581.0000000055879
2021-12-16 22:34:24+01:00,596.9999999506399,0.0,596.9999999506399,0.0,596.9999999506399
2021-12-16 22:34:32+01:00,618.9999999478459,0.0,618.9999999478459,0.0,618.9999999478459
2021-12-16 22:34:40+01:00,618.0000000167638,0.0,618.0000000167638,0.0,618.0000000167638
2021-12-16 22:34:48+01:00,618.0000000167638,0.0,618.0000000167638,0.0,618.0000000167638
