,Mains Phase L3,Mains Phase L3-,PV sur phase L1,PV sur phase L1-,PV sur phase L2,PV sur phase L2-,P_cons,P_prod,P_tot
2021-12-16 22:25:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:28+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:36+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:44+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:25:52+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:08+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:16+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:24+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:32+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:40+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:48+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:26:56+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:27:04+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:27:12+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-16 22:27:20+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
