,main black-,main black,main blue,main blue-,main red-,main red,P_cons,P_prod,P_tot
2021-12-16 22:21:12+01:00,0.0,146.00000000791624,271.00000000791624,0.0,0.0,117.99999999857391,535.0000000144064,0.0,535.0000000144064
2021-12-16 22:21:20+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:21:28+01:00,0.0,146.00000000791624,272.9999999864958,0.0,0.0,119.99999999898137,538.9999999933934,0.0,538.9999999933934
2021-12-16 22:21:36+01:00,0.0,146.00000000791624,269.00000000023283,0.0,0.0,116.00000000180444,531.0000000099535,0.0,531.0000000099535
2021-12-16 22:21:44+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:21:52+01:00,0.0,147.99999998649582,274.99999999417923,0.0,0.0,119.99999999898137,542.9999999796564,0.0,542.9999999796564
2021-12-16 22:22:00+01:00,0.0,146.00000000791624,269.00000000023283,0.0,0.0,116.99999999837019,532.0000000065193,0.0,532.0000000065193
2021-12-16 22:22:08+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:22:16+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:22:24+01:00,0.0,146.00000000791624,271.00000000791624,0.0,0.0,116.99999999837019,534.0000000142027,0.0,534.0000000142027
2021-12-16 22:22:32+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:22:40+01:00,0.0,144.99999998952262,266.9999999925494,0.0,0.0,115.00000000160071,526.9999999836728,0.0,526.9999999836728
2021-12-16 22:22:48+01:00,0.0,146.00000000791624,269.00000000023283,0.0,0.0,115.00000000160071,530.0000000097498,0.0,530.0000000097498
2021-12-16 22:22:56+01:00,0.0,146.00000000791624,269.9999999895226,0.0,0.0,117.99999999857391,533.9999999960128,0.0,533.9999999960128
2021-12-16 22:23:04+01:00,0.0,147.99999998649582,274.99999999417923,0.0,0.0,119.99999999898137,542.9999999796564,0.0,542.9999999796564
2021-12-16 22:23:12+01:00,0.0,146.99999999720603,271.00000000791624,0.0,0.0,117.99999999857391,536.0000000036962,0.0,536.0000000036962
2021-12-16 22:23:20+01:00,0.0,144.99999998952262,269.00000000023283,0.0,0.0,116.99999999837019,530.9999999881256,0.0,530.9999999881256
2021-12-16 22:23:28+01:00,0.0,146.00000000791624,271.00000000791624,0.0,0.0,117.99999999857391,535.0000000144064,0.0,535.0000000144064
2021-12-16 22:23:36+01:00,0.0,146.00000000791624,269.9999999895226,0.0,0.0,117.99999999857391,533.9999999960128,0.0,533.9999999960128
2021-12-16 22:23:44+01:00,0.0,144.99999998952262,269.00000000023283,0.0,0.0,117.99999999857391,531.9999999883294,0.0,531.9999999883294
2021-12-16 22:23:52+01:00,0.0,144.99999998952262,269.9999999895226,0.0,0.0,117.99999999857391,532.9999999776192,0.0,532.9999999776192
2021-12-16 22:24:00+01:00,0.0,146.00000000791624,269.9999999895226,0.0,0.0,117.99999999857391,533.9999999960128,0.0,533.9999999960128
2021-12-16 22:24:08+01:00,0.0,144.99999998952262,269.00000000023283,0.0,0.0,116.99999999837019,530.9999999881256,0.0,530.9999999881256
