,Mains phase 1-,Mains phase 1,Mains phase 2-,Mains phase 2,Mains phase 3-,Mains phase 3,P_cons,P_prod,P_tot
2021-12-16 22:24:08+01:00,0.0,93.99999998277053,0.0,119.99999999534339,24.999999994179234,0.0,188.99999998393469,0.0,188.99999998393469
2021-12-16 22:24:16+01:00,0.0,93.99999998277053,0.0,119.99999999534339,24.999999994179234,0.0,188.99999998393469,0.0,188.99999998393469
2021-12-16 22:24:24+01:00,0.0,93.99999998277053,0.0,118.0000000167638,25.99999999802094,0.0,186.0000000015134,0.0,186.0000000015134
2021-12-16 22:24:32+01:00,0.0,93.99999998277053,0.0,120.99999998463318,24.999999994179234,0.0,189.99999997322448,0.0,189.99999997322448
2021-12-16 22:24:40+01:00,0.0,94.99999997206032,0.0,119.99999999534339,24.999999994179234,0.0,189.99999997322448,0.0,189.99999997322448
2021-12-16 22:24:48+01:00,0.0,93.99999998277053,0.0,119.0000000060536,25.99999999802094,0.0,186.9999999908032,0.0,186.9999999908032
2021-12-16 22:24:56+01:00,0.0,92.99999999348074,0.0,119.0000000060536,24.999999994179234,0.0,187.0000000053551,0.0,187.0000000053551
2021-12-16 22:25:04+01:00,0.0,94.99999997206032,0.0,119.99999999534339,24.999999994179234,0.0,189.99999997322448,0.0,189.99999997322448
2021-12-16 22:25:12+01:00,0.0,93.99999998277053,0.0,119.0000000060536,25.99999999802094,0.0,186.9999999908032,0.0,186.9999999908032
2021-12-16 22:25:20+01:00,0.0,93.99999998277053,0.0,119.99999999534339,24.999999994179234,0.0,188.99999998393469,0.0,188.99999998393469
2021-12-16 22:25:28+01:00,0.0,93.99999998277053,0.0,119.0000000060536,24.999999994179234,0.0,187.9999999946449,0.0,187.9999999946449
2021-12-16 22:25:36+01:00,0.0,94.99999997206032,0.0,119.99999999534339,25.99999999802094,0.0,188.99999996938277,0.0,188.99999996938277
2021-12-16 22:25:44+01:00,0.0,94.99999997206032,0.0,120.99999998463318,24.999999994179234,0.0,190.99999996251427,0.0,190.99999996251427
2021-12-16 22:25:52+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:26:00+01:00,0.0,88.99999997811392,0.0,114.99999999068677,25.99999999802094,0.0,177.99999997077975,0.0,177.99999997077975
2021-12-16 22:26:08+01:00,0.0,88.99999997811392,0.0,114.99999999068677,24.999999994179234,0.0,178.99999997462146,0.0,178.99999997462146
2021-12-16 22:26:16+01:00,0.0,90.00000002561137,0.0,114.99999999068677,25.99999999802094,0.0,179.0000000182772,0.0,179.0000000182772
