,Phase L1-,Phase L1,Phase L2,Phase L2-,Phase L3,Phase L3-,PV sur phase L1,PV sur phase L1-,PV sur phase L2,PV sur phase L2-,P_cons,P_prod,P_tot
2021-12-16 22:19:36+01:00,0.0,618.9999999478459,142.9999999818392,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1234.9999999278225,0.0,1234.9999999278225
2021-12-16 22:19:44+01:00,0.0,615.9999999217689,140.00000001396984,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1228.999999933876,0.0,1228.999999933876
2021-12-16 22:19:52+01:00,0.0,617.0000000856817,141.00000000325963,0.0,472.0000000670552,0.0,0.0,0.9999999999763531,0.9999999999763531,0.0,1230.0000001559965,0.0,1230.0000001559965
2021-12-16 22:20:00+01:00,0.0,617.0000000856817,137.9999999771826,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1228.9999999920838,0.0,1228.9999999920838
2021-12-16 22:20:08+01:00,0.0,615.9999999217689,136.9999999878928,0.0,476.0000000242144,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1229.9999999338525,0.9999999999763531,1228.999999933876
2021-12-16 22:20:16+01:00,0.0,618.9999999478459,142.9999999818392,0.0,472.0000000670552,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1233.9999999967404,0.0,1233.9999999967404
2021-12-16 22:20:24+01:00,0.0,617.0000000856817,140.00000001396984,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1229.0000000978125,-0.9999999999763531,1230.0000000977889
2021-12-16 22:20:32+01:00,0.0,617.0000000856817,141.00000000325963,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1231.0000000870787,0.0,1231.0000000870787
2021-12-16 22:20:40+01:00,0.0,617.0000000856817,140.00000001396984,0.0,473.9999999292195,0.0,0.0,1.9999999999527063,1.9999999999527063,0.0,1231.000000028871,0.0,1231.000000028871
2021-12-16 22:20:48+01:00,0.0,617.0000000856817,141.99999999254942,0.0,472.99999999813735,0.0,0.0,1.9999999999527063,0.9999999999763531,0.0,1231.000000076392,-0.9999999999763531,1232.0000000763685
2021-12-16 22:20:56+01:00,0.0,618.0000000167638,141.00000000325963,0.0,472.99999999813735,0.0,0.0,0.9999999999763531,1.9999999999527063,0.0,1233.0000000181371,0.9999999999763531,1232.0000000181608
